Id,Type,Name,email,age,Income,Spend,Savings,Debt,Education,Credit Rating,IS employed,Is Employable ,HasCriminalBackground,Unemployed For
10025,GOVT,SomeName25,shh1@shh.com,61,698651563,63,46,59,PhD,2,T,T,T,41
10026,SELF,SomeName26,shh1@shh.com,55,866374805,43,47,-42,High School,8,F,F,F,21
10027,CORP,SomeName27,shh1@shh.com,23,8243800,28,30,16,Undergrad,3,T,T,T,54
10028,UNK,SomeName28,shh1@shh.com,20,130857839,39,46,6,Graduate,2,F,F,F,7
10029,GOVT,SomeName29,shh1@shh.com,101,921678997,46,32,-7,Masters,4,T,T,T,10
10030,SELF,SomeName30,shh1@shh.com,56,858494396,55,41,36,PhD,2,F,F,F,13
10031,CORP,SomeName31,shh1@shh.com,60,688116882,42,43,43,High School,10,T,T,T,46
10032,UNK,SomeName32,shh1@shh.com,96,165044040,40,32,8,Undergrad,2,F,F,F,25
10033,GOVT,SomeName33,shh1@shh.com,60,661498320,67,44,45,Graduate,3,T,T,T,29
10034,SELF,SomeName34,shh1@shh.com,105,448047030,70,42,-39,Masters,2,F,F,F,34
10035,CORP,SomeName35,shh1@shh.com,32,262409807,42,41,43,PhD,8,T,T,T,51
10036,UNK,SomeName36,shh1@shh.com,3,449356620,70,41,35,High School,0,F,F,F,58
10037,GOVT,SomeName37,shh1@shh.com,61,533313317,39,50,-26,Undergrad,9,T,T,T,43
10038,SELF,SomeName38,shh1@shh.com,20,683283106,54,55,54,Graduate,10,F,F,F,10
10039,CORP,SomeName39,shh1@shh.com,60,333616855,48,36,-2,Masters,7,T,T,T,16
10040,UNK,SomeName40,shh1@shh.com,104,564838335,70,52,41,PhD,2,F,F,F,50
10041,GOVT,SomeName41,shh1@shh.com,52,405845634,76,44,-39,High School,9,T,T,T,8
10042,SELF,SomeName42,shh1@shh.com,42,178024449,71,32,-12,Undergrad,6,F,F,F,20
10043,CORP,SomeName43,shh1@shh.com,42,213544240,46,33,-7,Graduate,5,T,T,T,31
10044,UNK,SomeName44,shh1@shh.com,1,85161709,44,55,21,Masters,10,F,F,F,15
10045,GOVT,SomeName45,shh1@shh.com,42,380482916,51,59,12,PhD,10,T,T,T,4
10046,SELF,SomeName46,shh1@shh.com,69,711410694,68,50,56,High School,0,F,F,F,12
10047,CORP,SomeName47,shh1@shh.com,58,791682233,28,42,-48,Undergrad,1,T,T,T,12
10048,UNK,SomeName48,shh1@shh.com,9,560654875,63,34,6,Graduate,0,F,F,F,40
10049,GOVT,SomeName49,shh1@shh.com,102,705832667,56,35,35,Masters,2,T,T,T,4
10050,SELF,SomeName50,shh1@shh.com,34,746824759,50,49,35,PhD,4,F,F,F,52
10051,CORP,SomeName51,shh1@shh.com,19,786702301,32,48,48,High School,9,T,T,T,3
10052,UNK,SomeName52,shh1@shh.com,55,806596807,47,60,4,Undergrad,5,F,F,F,17
10053,GOVT,SomeName53,shh1@shh.com,110,873990779,18,52,15,Graduate,3,T,T,T,23
10054,SELF,SomeName54,shh1@shh.com,90,434529332,72,41,-18,Masters,4,F,F,F,13
10055,CORP,SomeName55,shh1@shh.com,95,140071638,17,51,-29,PhD,8,T,T,T,48
10056,UNK,SomeName56,shh1@shh.com,38,587726144,68,35,7,High School,2,F,F,F,40
10057,GOVT,SomeName57,shh1@shh.com,35,44035300,60,50,50,Undergrad,9,T,T,T,12
10058,SELF,SomeName58,shh1@shh.com,14,528001164,53,57,-43,Graduate,10,F,F,F,3
10059,CORP,SomeName59,shh1@shh.com,39,126867030,65,46,-49,Masters,6,T,T,T,30
10060,UNK,SomeName60,shh1@shh.com,2,768692433,38,57,59,PhD,3,F,F,F,1
10061,GOVT,SomeName61,shh1@shh.com,33,750004260,62,50,-10,High School,3,T,T,T,10
10062,SELF,SomeName62,shh1@shh.com,4,790370398,70,51,-21,Undergrad,9,F,F,F,1
10063,CORP,SomeName63,shh1@shh.com,25,286929432,49,40,-3,Graduate,5,T,T,T,12
10064,UNK,SomeName64,shh1@shh.com,51,562764903,79,49,-31,Masters,0,F,F,F,37
10065,GOVT,SomeName65,shh1@shh.com,33,801976830,77,30,45,PhD,5,T,T,T,13
10066,SELF,SomeName66,shh1@shh.com,97,625460096,36,40,-16,High School,6,F,F,F,12
10067,CORP,SomeName67,shh1@shh.com,63,265330622,65,58,47,Undergrad,10,T,T,T,12
10068,UNK,SomeName68,shh1@shh.com,15,994963908,49,33,49,Graduate,6,F,F,F,3
10069,GOVT,SomeName69,shh1@shh.com,29,488573964,77,33,50,Masters,5,T,T,T,2
10070,SELF,SomeName70,shh1@shh.com,63,952601208,49,58,49,PhD,7,F,F,F,20
10071,CORP,SomeName71,shh1@shh.com,107,865238568,46,39,-10,High School,10,T,T,T,38
10072,UNK,SomeName72,shh1@shh.com,6,432662367,47,49,1,Undergrad,1,F,F,F,20
10073,GOVT,SomeName73,shh1@shh.com,67,527108245,47,31,-21,Graduate,4,T,T,T,51
10074,SELF,SomeName74,shh1@shh.com,63,763326693,15,42,32,Masters,6,F,F,F,20
10075,CORP,SomeName75,shh1@shh.com,63,140201366,35,32,-24,PhD,10,T,T,T,15
10076,UNK,SomeName76,shh1@shh.com,86,331330528,23,52,-27,High School,5,F,F,F,29
10077,GOVT,SomeName77,shh1@shh.com,110,12400756,43,47,32,Undergrad,9,T,T,T,8
10078,SELF,SomeName78,shh1@shh.com,95,487825450,27,50,-18,Graduate,7,F,F,F,23
10079,CORP,SomeName79,shh1@shh.com,10,999501930,66,30,21,Masters,4,T,T,T,58
10080,UNK,SomeName80,shh1@shh.com,72,999104842,49,33,41,PhD,2,F,F,F,1
10081,GOVT,SomeName81,shh1@shh.com,46,715731703,53,43,50,High School,1,T,T,T,60
10082,SELF,SomeName82,shh1@shh.com,57,419006274,34,41,-46,Undergrad,7,F,F,F,58
10083,CORP,SomeName83,shh1@shh.com,39,1970591,80,54,-28,Graduate,2,T,T,T,26
10084,UNK,SomeName84,shh1@shh.com,16,391568146,37,55,57,Masters,5,F,F,F,12
10085,GOVT,SomeName85,shh1@shh.com,38,791088592,21,44,44,PhD,1,T,T,T,20
10086,SELF,SomeName86,shh1@shh.com,41,253608288,38,57,-9,High School,0,F,F,F,6
10087,CORP,SomeName87,shh1@shh.com,63,327113424,76,50,-38,Undergrad,5,T,T,T,41
10088,UNK,SomeName88,shh1@shh.com,93,933718578,21,40,58,Graduate,6,F,F,F,27
10089,GOVT,SomeName89,shh1@shh.com,71,180593363,35,48,47,Masters,9,T,T,T,13
10090,SELF,SomeName90,shh1@shh.com,32,909920902,67,49,16,PhD,5,F,F,F,24
10091,CORP,SomeName91,shh1@shh.com,27,227972589,21,59,-14,High School,4,T,T,T,52
10092,UNK,SomeName92,shh1@shh.com,15,691146844,33,50,-32,Undergrad,10,F,F,F,33
10093,GOVT,SomeName93,shh1@shh.com,60,147771930,65,48,-41,Graduate,1,T,T,T,15
10094,SELF,SomeName94,shh1@shh.com,79,836680300,69,38,-33,Masters,3,F,F,F,36
10095,CORP,SomeName95,shh1@shh.com,92,830805052,30,35,57,PhD,8,T,T,T,19
10096,UNK,SomeName96,shh1@shh.com,103,258734964,39,48,-25,High School,4,F,F,F,30
10097,GOVT,SomeName97,shh1@shh.com,48,100797834,80,38,-48,Undergrad,9,T,T,T,51
10098,SELF,SomeName98,shh1@shh.com,33,829602922,52,38,51,Graduate,2,F,F,F,48
10099,CORP,SomeName99,shh1@shh.com,14,210298468,63,60,45,Masters,4,T,T,T,15
10100,UNK,SomeName100,shh1@shh.com,48,754912484,29,56,52,PhD,3,F,F,F,56
10101,GOVT,SomeName101,shh1@shh.com,18,598228183,20,54,47,High School,7,T,T,T,29
10102,SELF,SomeName102,shh1@shh.com,104,279996462,58,49,13,Undergrad,3,F,F,F,51
10103,CORP,SomeName103,shh1@shh.com,12,595765128,41,38,33,Graduate,4,T,T,T,57
10104,UNK,SomeName104,shh1@shh.com,15,590860631,57,43,-28,Masters,4,F,F,F,28
10105,GOVT,SomeName105,shh1@shh.com,109,149722764,26,52,-40,PhD,6,T,T,T,26
10106,SELF,SomeName106,shh1@shh.com,81,272204124,28,43,-25,High School,7,F,F,F,51
10107,CORP,SomeName107,shh1@shh.com,56,567799592,72,52,-45,Undergrad,0,T,T,T,17
10108,UNK,SomeName108,shh1@shh.com,57,420718430,32,49,59,Graduate,6,F,F,F,25
10109,GOVT,SomeName109,shh1@shh.com,68,317324365,47,58,-44,Masters,5,T,T,T,4
10110,SELF,SomeName110,shh1@shh.com,87,167992738,50,41,-22,PhD,10,F,F,F,6
10111,CORP,SomeName111,shh1@shh.com,15,805480787,52,42,-49,High School,7,T,T,T,30
10112,UNK,SomeName112,shh1@shh.com,77,815849459,31,30,41,Undergrad,3,F,F,F,21
10113,GOVT,SomeName113,shh1@shh.com,70,770639657,52,35,1,Graduate,5,T,T,T,6
10114,SELF,SomeName114,shh1@shh.com,2,946647729,50,30,-29,Masters,6,F,F,F,23
10115,CORP,SomeName115,shh1@shh.com,46,281368965,16,59,12,PhD,10,T,T,T,23
10116,UNK,SomeName116,shh1@shh.com,7,33832175,72,36,-42,High School,10,F,F,F,51
10117,GOVT,SomeName117,shh1@shh.com,8,475233283,28,55,-38,Undergrad,8,T,T,T,27
10118,SELF,SomeName118,shh1@shh.com,81,678485206,25,36,22,Graduate,10,F,F,F,58
10119,CORP,SomeName119,shh1@shh.com,100,355864921,19,45,-30,Masters,4,T,T,T,56
10120,UNK,SomeName120,shh1@shh.com,88,119770725,39,34,-20,PhD,10,F,F,F,35
10121,GOVT,SomeName121,shh1@shh.com,92,488797084,43,36,0,High School,2,T,T,T,30
10122,SELF,SomeName122,shh1@shh.com,6,526079012,79,33,-49,Undergrad,2,F,F,F,40
10123,CORP,SomeName123,shh1@shh.com,58,493858130,27,57,39,Graduate,0,T,T,T,8
10124,UNK,SomeName124,shh1@shh.com,36,656635561,52,55,-37,Masters,3,F,F,F,56
10125,GOVT,SomeName125,shh1@shh.com,43,503290803,73,59,-23,PhD,9,T,T,T,18
10126,SELF,SomeName126,shh1@shh.com,44,25206638,48,34,39,High School,10,F,F,F,33
10127,CORP,SomeName127,shh1@shh.com,6,433178649,65,48,54,Undergrad,8,T,T,T,23
10128,UNK,SomeName128,shh1@shh.com,10,190117343,24,45,10,Graduate,10,F,F,F,10
10129,GOVT,SomeName129,shh1@shh.com,105,491511155,57,37,51,Masters,2,T,T,T,10
10130,SELF,SomeName130,shh1@shh.com,46,797729133,18,60,10,PhD,7,F,F,F,42
10131,CORP,SomeName131,shh1@shh.com,59,495325652,59,46,22,High School,4,T,T,T,55
10132,UNK,SomeName132,shh1@shh.com,8,636043200,54,52,-36,Undergrad,1,F,F,F,32
10133,GOVT,SomeName133,shh1@shh.com,54,110287291,70,35,6,Graduate,10,T,T,T,18
10134,SELF,SomeName134,shh1@shh.com,81,917020088,42,53,56,Masters,1,F,F,F,55
10135,CORP,SomeName135,shh1@shh.com,30,65275718,40,44,40,PhD,7,T,T,T,47
10136,UNK,SomeName136,shh1@shh.com,60,938007349,51,45,-40,High School,0,F,F,F,58
10137,GOVT,SomeName137,shh1@shh.com,17,371522418,69,60,-28,Undergrad,1,T,T,T,55
10138,SELF,SomeName138,shh1@shh.com,71,953236552,23,35,-15,Graduate,1,F,F,F,8
10139,CORP,SomeName139,shh1@shh.com,14,221184689,25,39,-37,Masters,7,T,T,T,4
10140,UNK,SomeName140,shh1@shh.com,64,292558095,48,37,28,PhD,1,F,F,F,9
10141,GOVT,SomeName141,shh1@shh.com,65,308719081,39,45,38,High School,0,T,T,T,33
10142,SELF,SomeName142,shh1@shh.com,36,483467390,76,58,34,Undergrad,3,F,F,F,13
10143,CORP,SomeName143,shh1@shh.com,102,518399769,43,36,15,Graduate,7,T,T,T,42
10144,UNK,SomeName144,shh1@shh.com,2,30253946,33,31,22,Masters,3,F,F,F,53
10145,GOVT,SomeName145,shh1@shh.com,94,835168301,76,47,-8,PhD,10,T,T,T,7
10146,SELF,SomeName146,shh1@shh.com,25,647313651,75,30,53,High School,6,F,F,F,30
10147,CORP,SomeName147,shh1@shh.com,100,317907001,18,45,36,Undergrad,7,T,T,T,44
10148,UNK,SomeName148,shh1@shh.com,60,502527130,22,56,19,Graduate,3,F,F,F,37
10149,GOVT,SomeName149,shh1@shh.com,14,349704231,15,52,-35,Masters,0,T,T,T,13
10150,SELF,SomeName150,shh1@shh.com,55,386524518,24,44,-22,PhD,1,F,F,F,44
10151,CORP,SomeName151,shh1@shh.com,77,484890873,46,54,60,High School,7,T,T,T,4
10152,UNK,SomeName152,shh1@shh.com,9,746060741,59,56,37,Undergrad,7,F,F,F,19
10153,GOVT,SomeName153,shh1@shh.com,36,389048575,74,33,21,Graduate,0,T,T,T,3
10154,SELF,SomeName154,shh1@shh.com,25,79618292,78,40,43,Masters,5,F,F,F,12
10155,CORP,SomeName155,shh1@shh.com,67,809237387,34,53,58,PhD,1,T,T,T,39
10156,UNK,SomeName156,shh1@shh.com,77,778693567,70,51,40,High School,5,F,F,F,2
10157,GOVT,SomeName157,shh1@shh.com,38,963064828,27,51,-6,Undergrad,3,T,T,T,55
10158,SELF,SomeName158,shh1@shh.com,40,834437039,44,51,51,Graduate,3,F,F,F,40
10159,CORP,SomeName159,shh1@shh.com,40,129361116,23,33,58,Masters,8,T,T,T,38
10160,UNK,SomeName160,shh1@shh.com,58,157204240,66,43,20,PhD,2,F,F,F,31
10161,GOVT,SomeName161,shh1@shh.com,58,577900594,76,49,-15,High School,5,T,T,T,13
10162,SELF,SomeName162,shh1@shh.com,63,801238398,53,43,58,Undergrad,8,F,F,F,58
10163,CORP,SomeName163,shh1@shh.com,66,531547995,63,49,38,Graduate,4,T,T,T,21
10164,UNK,SomeName164,shh1@shh.com,18,249497283,55,30,-44,Masters,8,F,F,F,35
10165,GOVT,SomeName165,shh1@shh.com,19,868856559,38,52,-39,PhD,6,T,T,T,15
10166,SELF,SomeName166,shh1@shh.com,16,540273365,58,40,-42,High School,4,F,F,F,31
10167,CORP,SomeName167,shh1@shh.com,30,968635946,22,46,-33,Undergrad,4,T,T,T,26
10168,UNK,SomeName168,shh1@shh.com,9,546019144,43,49,27,Graduate,4,F,F,F,12
10169,GOVT,SomeName169,shh1@shh.com,75,926327895,20,42,-31,Masters,1,T,T,T,55
10170,SELF,SomeName170,shh1@shh.com,32,424705973,76,55,-33,PhD,6,F,F,F,56
10171,CORP,SomeName171,shh1@shh.com,27,714813336,33,32,27,High School,1,T,T,T,58
10172,UNK,SomeName172,shh1@shh.com,61,760465781,29,34,-35,Undergrad,10,F,F,F,30
10173,GOVT,SomeName173,shh1@shh.com,36,572911667,71,32,-9,Graduate,4,T,T,T,33
10174,SELF,SomeName174,shh1@shh.com,49,401342790,57,43,-7,Masters,10,F,F,F,17
10175,CORP,SomeName175,shh1@shh.com,54,744594093,17,59,-40,PhD,2,T,T,T,47
10176,UNK,SomeName176,shh1@shh.com,6,358748427,15,31,46,High School,10,F,F,F,46
10177,GOVT,SomeName177,shh1@shh.com,106,633792408,56,31,-20,Undergrad,4,T,T,T,43
10178,SELF,SomeName178,shh1@shh.com,87,388392620,49,35,28,Graduate,9,F,F,F,7
10179,CORP,SomeName179,shh1@shh.com,46,643064760,52,56,-21,Masters,4,T,T,T,4
10180,UNK,SomeName180,shh1@shh.com,45,921433307,23,35,36,PhD,10,F,F,F,55
10181,GOVT,SomeName181,shh1@shh.com,60,68113345,70,60,-13,High School,7,T,T,T,48
10182,SELF,SomeName182,shh1@shh.com,12,911882382,58,56,-41,Undergrad,7,F,F,F,37
10183,CORP,SomeName183,shh1@shh.com,16,192640398,45,41,-6,Graduate,9,T,T,T,29
10184,UNK,SomeName184,shh1@shh.com,90,212396022,36,33,24,Masters,6,F,F,F,47
10185,GOVT,SomeName185,shh1@shh.com,27,656750337,41,57,0,PhD,0,T,T,T,57
10186,SELF,SomeName186,shh1@shh.com,79,578910590,37,56,25,High School,10,F,F,F,36
10187,CORP,SomeName187,shh1@shh.com,6,172912726,74,38,-25,Undergrad,0,T,T,T,3
10188,UNK,SomeName188,shh1@shh.com,100,664805208,22,57,-6,Graduate,8,F,F,F,45
10189,GOVT,SomeName189,shh1@shh.com,110,923524911,65,47,19,Masters,1,T,T,T,7
10190,SELF,SomeName190,shh1@shh.com,85,380782559,69,57,-6,PhD,4,F,F,F,15
10191,CORP,SomeName191,shh1@shh.com,52,727767648,16,41,9,High School,9,T,T,T,32
10192,UNK,SomeName192,shh1@shh.com,69,942212703,48,51,-13,Undergrad,3,F,F,F,6
10193,GOVT,SomeName193,shh1@shh.com,33,278032224,52,39,-8,Graduate,0,T,T,T,46
10194,SELF,SomeName194,shh1@shh.com,49,602756545,39,38,12,Masters,5,F,F,F,34
10195,CORP,SomeName195,shh1@shh.com,31,348537498,55,38,54,PhD,4,T,T,T,53
10196,UNK,SomeName196,shh1@shh.com,24,932355866,37,30,48,High School,0,F,F,F,54
10197,GOVT,SomeName197,shh1@shh.com,39,655280389,67,55,53,Undergrad,4,T,T,T,38
10198,SELF,SomeName198,shh1@shh.com,106,915304471,63,49,-41,Graduate,4,F,F,F,47
10199,CORP,SomeName199,shh1@shh.com,105,410263890,27,43,57,Masters,0,T,T,T,47
10200,UNK,SomeName200,shh1@shh.com,33,680185695,25,39,-13,PhD,10,F,F,F,49
10201,GOVT,SomeName201,shh1@shh.com,24,459916541,79,50,29,High School,5,T,T,T,41
10202,SELF,SomeName202,shh1@shh.com,23,710213514,68,31,43,Undergrad,5,F,F,F,35
10203,CORP,SomeName203,shh1@shh.com,69,227491121,50,55,56,Graduate,3,T,T,T,47
10204,UNK,SomeName204,shh1@shh.com,15,201289263,56,59,25,Masters,4,F,F,F,24
10205,GOVT,SomeName205,shh1@shh.com,9,59319980,20,33,13,PhD,1,T,T,T,8
10206,SELF,SomeName206,shh1@shh.com,33,177142970,51,48,52,High School,4,F,F,F,53
10207,CORP,SomeName207,shh1@shh.com,84,510206715,54,57,-46,Undergrad,2,T,T,T,27
10208,UNK,SomeName208,shh1@shh.com,109,325038129,55,40,-12,Graduate,8,F,F,F,28
10209,GOVT,SomeName209,shh1@shh.com,60,365895208,35,30,-4,Masters,8,T,T,T,57
10210,SELF,SomeName210,shh1@shh.com,74,838849639,48,56,20,PhD,4,F,F,F,26
10211,CORP,SomeName211,shh1@shh.com,74,686736717,76,54,-26,High School,6,T,T,T,33
10212,UNK,SomeName212,shh1@shh.com,90,994889952,62,58,0,Undergrad,10,F,F,F,31
10213,GOVT,SomeName213,shh1@shh.com,8,408341227,73,46,16,Graduate,3,T,T,T,57
10214,SELF,SomeName214,shh1@shh.com,27,368170334,57,38,-40,Masters,9,F,F,F,11
10215,CORP,SomeName215,shh1@shh.com,32,555372110,47,42,59,PhD,0,T,T,T,12
10216,UNK,SomeName216,shh1@shh.com,84,286292091,54,43,35,High School,10,F,F,F,9
10217,GOVT,SomeName217,shh1@shh.com,96,485981256,35,57,-46,Undergrad,9,T,T,T,23
10218,SELF,SomeName218,shh1@shh.com,10,418854583,65,35,44,Graduate,5,F,F,F,31
10219,CORP,SomeName219,shh1@shh.com,54,448334797,44,60,-19,Masters,2,T,T,T,59
10220,UNK,SomeName220,shh1@shh.com,73,220484422,32,52,17,PhD,9,F,F,F,55
10221,GOVT,SomeName221,shh1@shh.com,104,760614775,15,44,-14,High School,1,T,T,T,47
10222,SELF,SomeName222,shh1@shh.com,19,736081638,60,36,-32,Undergrad,9,F,F,F,8
10223,CORP,SomeName223,shh1@shh.com,42,334426625,45,46,54,Graduate,10,T,T,T,30
10224,UNK,SomeName224,shh1@shh.com,29,899734527,46,36,19,Masters,6,F,F,F,57
10225,GOVT,SomeName225,shh1@shh.com,70,940020115,59,31,41,PhD,4,T,T,T,59
10226,SELF,SomeName226,shh1@shh.com,14,881832135,61,32,26,High School,2,F,F,F,10
10227,CORP,SomeName227,shh1@shh.com,74,927297083,77,45,-21,Undergrad,2,T,T,T,3
10228,UNK,SomeName228,shh1@shh.com,26,19886256,67,41,-14,Graduate,8,F,F,F,15
10229,GOVT,SomeName229,shh1@shh.com,69,12943082,42,53,5,Masters,2,T,T,T,59
10230,SELF,SomeName230,shh1@shh.com,90,94565358,27,37,58,PhD,7,F,F,F,11
10231,CORP,SomeName231,shh1@shh.com,38,869170763,61,55,41,High School,4,T,T,T,23
10232,UNK,SomeName232,shh1@shh.com,105,622431246,73,42,54,Undergrad,6,F,F,F,34
10233,GOVT,SomeName233,shh1@shh.com,78,589563899,51,47,43,Graduate,10,T,T,T,52
10234,SELF,SomeName234,shh1@shh.com,17,544487498,57,40,-28,Masters,10,F,F,F,19
10235,CORP,SomeName235,shh1@shh.com,35,931506422,28,31,40,PhD,0,T,T,T,31
10236,UNK,SomeName236,shh1@shh.com,51,521693656,70,44,-42,High School,5,F,F,F,59
10237,GOVT,SomeName237,shh1@shh.com,8,825918996,49,47,-12,Undergrad,6,T,T,T,43
10238,SELF,SomeName238,shh1@shh.com,41,834715908,44,45,52,Graduate,8,F,F,F,21
10239,CORP,SomeName239,shh1@shh.com,108,583793838,26,42,-49,Masters,0,T,T,T,21
10240,UNK,SomeName240,shh1@shh.com,44,209467434,70,55,12,PhD,8,F,F,F,22
10241,GOVT,SomeName241,shh1@shh.com,26,684398858,64,48,-30,High School,6,T,T,T,12
10242,SELF,SomeName242,shh1@shh.com,62,475127366,46,50,-9,Undergrad,8,F,F,F,41
10243,CORP,SomeName243,shh1@shh.com,24,8567699,76,30,-24,Graduate,9,T,T,T,30
10244,UNK,SomeName244,shh1@shh.com,6,8039002,34,30,17,Masters,4,F,F,F,18
10245,GOVT,SomeName245,shh1@shh.com,99,114421272,65,56,13,PhD,4,T,T,T,44
10246,SELF,SomeName246,shh1@shh.com,100,627857285,20,51,56,High School,2,F,F,F,28
10247,CORP,SomeName247,shh1@shh.com,29,577437968,26,32,17,Undergrad,4,T,T,T,17
10248,UNK,SomeName248,shh1@shh.com,57,687781754,18,60,51,Graduate,0,F,F,F,34
10249,GOVT,SomeName249,shh1@shh.com,87,140854337,22,45,1,Masters,6,T,T,T,24
10250,SELF,SomeName250,shh1@shh.com,17,349282978,70,50,0,PhD,5,F,F,F,46
10251,CORP,SomeName251,shh1@shh.com,22,641877319,70,48,-36,High School,0,T,T,T,57
10252,UNK,SomeName252,shh1@shh.com,99,136029995,68,31,-27,Undergrad,3,F,F,F,33
10253,GOVT,SomeName253,shh1@shh.com,48,46378277,40,44,-47,Graduate,6,T,T,T,52
10254,SELF,SomeName254,shh1@shh.com,27,530360762,63,59,-44,Masters,10,F,F,F,16
10255,CORP,SomeName255,shh1@shh.com,85,266203171,28,57,-3,PhD,6,T,T,T,20
10256,UNK,SomeName256,shh1@shh.com,14,899475655,39,48,-11,High School,5,F,F,F,7
10257,GOVT,SomeName257,shh1@shh.com,24,620866687,62,47,-49,Undergrad,4,T,T,T,16
10258,SELF,SomeName258,shh1@shh.com,88,366931970,53,40,-29,Graduate,7,F,F,F,27
10259,CORP,SomeName259,shh1@shh.com,3,335795901,24,55,-26,Masters,9,T,T,T,10
10260,UNK,SomeName260,shh1@shh.com,62,712484482,56,32,3,PhD,10,F,F,F,24
10261,GOVT,SomeName261,shh1@shh.com,78,264258371,52,53,13,High School,2,T,T,T,32
10262,SELF,SomeName262,shh1@shh.com,30,542349968,30,56,-39,Undergrad,7,F,F,F,43
10263,CORP,SomeName263,shh1@shh.com,1,75444676,35,46,-31,Graduate,5,T,T,T,46
10264,UNK,SomeName264,shh1@shh.com,69,873035549,32,36,52,Masters,10,F,F,F,38
10265,GOVT,SomeName265,shh1@shh.com,47,987514274,42,41,-18,PhD,1,T,T,T,28
10266,SELF,SomeName266,shh1@shh.com,81,83403199,77,36,5,High School,1,F,F,F,54
10267,CORP,SomeName267,shh1@shh.com,89,125567344,59,47,-31,Undergrad,9,T,T,T,10
10268,UNK,SomeName268,shh1@shh.com,90,708556934,21,44,33,Graduate,10,F,F,F,27
10269,GOVT,SomeName269,shh1@shh.com,100,796291578,46,44,-30,Masters,5,T,T,T,31
10270,SELF,SomeName270,shh1@shh.com,51,231189993,52,42,56,PhD,9,F,F,F,50
10271,CORP,SomeName271,shh1@shh.com,18,328141259,66,43,46,High School,4,T,T,T,48
10272,UNK,SomeName272,shh1@shh.com,21,17743662,70,59,-48,Undergrad,4,F,F,F,24
10273,GOVT,SomeName273,shh1@shh.com,64,562931387,18,60,37,Graduate,10,T,T,T,7
10274,SELF,SomeName274,shh1@shh.com,95,206666393,64,50,21,Masters,1,F,F,F,40
10275,CORP,SomeName275,shh1@shh.com,105,916600888,17,60,55,PhD,3,T,T,T,36
10276,UNK,SomeName276,shh1@shh.com,91,896244215,44,33,-21,High School,9,F,F,F,19
10277,GOVT,SomeName277,shh1@shh.com,33,617213602,37,32,-21,Undergrad,4,T,T,T,15
10278,SELF,SomeName278,shh1@shh.com,26,416366837,64,56,35,Graduate,5,F,F,F,54
10279,CORP,SomeName279,shh1@shh.com,52,221092538,32,46,14,Masters,8,T,T,T,2
10280,UNK,SomeName280,shh1@shh.com,34,539965538,15,32,-25,PhD,0,F,F,F,8
10281,GOVT,SomeName281,shh1@shh.com,104,625674151,37,34,35,High School,3,T,T,T,58
10282,SELF,SomeName282,shh1@shh.com,51,255338187,28,33,-9,Undergrad,2,F,F,F,51
